mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-09-02 08:56:05.610349824,66.3736,-38.1701,8095.0,23.0,8056.0,22.9,-802.0,21.7,12,S,1A,3413
2018-11-20 08:55:26.959767296,66.3736,-38.1701,9090.0,230.0,9020.0,230.0,-1124.0,211.2,6,S,1B,3413
2020-12-18 20:13:05.657330944,66.3736,-38.1701,9316.0,50.0,9305.0,50.1,-442.0,97.5,11,S,1B,3413
2021-05-11 02:23:49.566036992,66.3736,-38.1701,8628.0,34.0,8627.0,33.7,-153.0,47.2,15,S,2B,3413
2019-03-26 08:55:24.250150912,66.3736,-38.1701,8567.0,175.0,8467.0,174.9,-1302.0,162.6,5,S,1A,3413
2018-01-28 09:11:26.635016960,66.3736,-38.1701,8837.0,72.0,8832.0,71.8,-319.0,92.0,5,S,1A,3413
2017-10-27 09:11:50.521967104,66.3736,-38.1701,9361.0,111.0,9344.0,111.2,-561.0,77.6,12,S,1A,3413
2017-12-26 09:11:48.746176256,66.3736,-38.1701,9007.0,58.0,8987.0,57.7,-599.0,61.9,11,S,1A,3413
2022-01-17 09:03:59.401936896,66.3736,-38.1701,8691.0,196.0,8664.0,196.0,-691.0,105.0,11,S,1A,3413
2021-03-04 09:12:05.858662912,66.3736,-38.1701,8600.0,104.0,8590.0,103.8,-428.0,92.5,12,S,1A,3413
2018-12-06 09:11:35.281081088,66.3736,-38.1701,8651.0,53.0,8598.0,52.6,-956.0,44.7,5,S,1A,3413
2020-09-13 08:55:18.443827712,66.3736,-38.1701,8647.0,77.0,8566.0,76.8,-1175.0,65.6,12,S,1B,3413
2018-06-09 09:11:30.133582336,66.3736,-38.1701,8364.0,75.0,8331.0,74.7,-744.0,111.1,5,S,1A,3413
2021-01-07 19:57:31.485404928,66.3736,-38.1701,8061.0,123.0,8031.0,122.7,-692.0,107.7,11,S,1A,3413
2021-05-06 09:11:46.733379072,66.3736,-38.1701,8820.0,74.0,8814.0,73.9,-323.0,60.2,6,S,1B,3413
2021-03-03 08:55:36.032625920,66.3736,-38.1701,8594.0,215.0,8590.0,214.7,-275.0,192.2,5,S,1A,3413
2016-10-11 09:11:23.563461376,66.3736,-38.1701,8598.0,150.0,8595.0,150.0,-241.0,62.5,6,S,1B,3413
2020-09-16 08:55:39.476142080,66.3736,-38.1701,9082.0,163.0,9038.0,162.9,-894.0,137.1,5,S,1A,3413
2021-01-08 08:55:37.512621312,66.3736,-38.1701,8005.0,185.0,7962.0,185.0,-835.0,188.8,6,S,1B,3413
2018-11-18 09:11:35.859813120,66.3736,-38.1701,9110.0,295.0,9062.0,295.7,-931.0,212.8,6,S,1B,3413
2020-03-09 09:12:00.058146048,66.3736,-38.1701,8667.0,41.0,8643.0,40.8,-634.0,57.4,12,S,1A,3413
2018-04-04 14:20:17.566036992,66.3736,-38.1701,8096.0,26.0,8087.0,26.2,-381.0,26.2,40,S,2A,3413
2021-05-31 02:23:51.566037248,66.3736,-38.1701,8395.0,22.0,8390.0,22.2,-282.0,33.1,55,S,2B,3413
2019-12-12 08:55:11.747104000,66.3736,-38.1701,9617.0,60.0,9575.0,60.4,-892.0,62.3,11,S,1B,3413
2016-12-26 09:03:37.745800704,66.3736,-38.1701,9576.0,158.0,9536.0,158.5,-876.0,98.5,11,S,1A,3413
2016-02-01 20:13:14.355224064,66.3736,-38.1701,7948.0,68.0,7916.0,67.5,-711.0,147.8,12,S,1A,3413
2021-04-26 08:55:37.401455104,66.3736,-38.1701,9005.0,244.0,8938.0,244.4,-1093.0,219.5,6,S,1B,3413
2018-11-11 08:55:06.254648320,66.3736,-38.1701,8871.0,75.0,8814.0,75.4,-1002.0,70.5,11,S,1B,3413
2018-07-28 14:20:43.566036992,66.3736,-38.1701,8780.0,33.0,8759.0,33.2,-606.0,43.0,19,S,2B,3413
2016-08-21 09:11:43.167360000,66.3736,-38.1701,7848.0,29.0,7793.0,28.6,-931.0,46.2,12,S,1A,3413
2021-03-12 02:23:51.566037248,66.3736,-38.1701,8301.0,24.0,8298.0,23.5,-230.0,30.6,64,S,2A,3413
2021-05-14 08:55:38.365006080,66.3736,-38.1701,8738.0,109.0,8721.0,108.6,-551.0,102.0,5,S,1A,3413
2018-06-17 08:55:21.827864064,66.3736,-38.1701,8306.0,92.0,8298.0,91.9,-353.0,81.9,6,S,1B,3413
2016-05-26 14:11:25.566036992,66.3736,-38.1701,7443.0,15.0,7422.0,15.3,-554.0,21.1,90,S,2A,3413
2019-03-29 08:55:45.207639040,66.3736,-38.1701,9035.0,101.0,8974.0,100.9,-1049.0,98.8,12,S,1A,3413
2017-01-11 08:55:11.649180928,66.3736,-38.1701,9655.0,115.0,9603.0,115.4,-1000.0,117.0,5,S,1A,3413
2019-04-17 09:11:33.656024064,66.3736,-38.1701,9025.0,258.0,8943.0,259.1,-1216.0,173.3,5,S,1A,3413
2017-02-14 09:11:19.768449024,66.3736,-38.1701,8821.0,270.0,8808.0,270.4,-469.0,201.3,5,S,1A,3413
2017-09-06 02:11:45.066036992,66.3736,-38.1701,10626.0,39.0,10612.0,38.7,-554.0,35.1,14,S,2B,3413
2019-12-17 19:57:05.424115968,66.3736,-38.1701,9413.0,113.0,9378.0,113.6,-812.0,86.7,5,S,1A,3413
2017-10-14 08:55:20.627515904,66.3736,-38.1701,8868.0,99.0,8768.0,99.9,-1327.0,74.6,5,S,1A,3413
2016-06-23 14:21:14.566036992,66.3736,-38.1701,7591.0,14.0,7571.0,13.5,-541.0,17.0,100,S,2A,3413
2018-05-16 09:11:28.678727936,66.3736,-38.1701,8332.0,232.0,8314.0,232.3,-551.0,182.9,5,S,1A,3413
2021-11-05 09:11:33.561563904,66.3736,-38.1701,9669.0,83.0,9623.0,82.7,-945.0,67.7,11,S,1B,3413
2018-03-17 09:11:26.346787072,66.3736,-38.1701,8179.0,65.0,8173.0,65.3,-297.0,87.3,5,S,1A,3413
2016-05-14 14:21:26.066036992,66.3736,-38.1701,7491.0,25.0,7465.0,24.4,-622.0,39.5,60,S,2A,3413
2016-05-09 14:22:53.066036992,66.3736,-38.1701,7448.0,26.0,7425.0,25.5,-594.0,38.9,70,S,2A,3413
2021-10-26 08:55:24.941126912,66.3736,-38.1701,8887.0,68.0,8830.0,67.5,-1003.0,71.3,11,S,1B,3413
2021-01-13 19:56:49.302401024,66.3736,-38.1701,8218.0,125.0,8187.0,124.9,-721.0,109.3,11,S,1B,3413
2021-10-20 08:56:06.723187968,66.3736,-38.1701,8843.0,78.0,8814.0,77.5,-709.0,83.7,12,S,1A,3413
2021-04-23 14:23:49.066036736,66.3736,-38.1701,8621.0,29.0,8599.0,29.1,-611.0,40.6,20,S,2B,3413
2020-04-29 09:11:40.541993984,66.3736,-38.1701,8907.0,222.0,8889.0,222.3,-560.0,171.2,6,S,1B,3413
2019-12-13 09:11:41.466138112,66.3736,-38.1701,9588.0,68.0,9542.0,67.7,-935.0,110.7,5,S,1A,3413
2020-12-07 09:11:47.840647936,66.3736,-38.1701,9319.0,65.0,9302.0,64.4,-559.0,86.5,5,S,1A,3413
2018-08-24 14:10:23.066036992,66.3736,-38.1701,8969.0,21.0,8944.0,20.9,-672.0,29.7,40,S,2B,3413
2021-01-06 09:11:46.445829888,66.3736,-38.1701,7859.0,156.0,7811.0,156.6,-869.0,124.0,6,S,1B,3413
2019-09-13 14:13:55.066036992,66.3736,-38.1701,9525.0,98.0,9481.0,98.4,-919.0,83.3,9,S,2B,3413
2018-03-04 08:54:56.474171904,66.3736,-38.1701,8071.0,96.0,8060.0,96.4,-417.0,100.2,12,S,1B,3413
2020-08-11 02:13:59.066036992,66.3736,-38.1701,9090.0,22.0,9061.0,22.2,-725.0,29.6,24,S,2A,3413
2016-01-20 20:13:14.578827008,66.3736,-38.1701,8156.0,60.0,8115.0,59.8,-821.0,106.6,11,S,1A,3413
2018-12-23 08:55:46.665006080,66.3736,-38.1701,8507.0,77.0,8492.0,77.0,-498.0,76.9,11,S,1A,3413
2021-03-10 09:11:23.893330944,66.3736,-38.1701,8533.0,116.0,8529.0,116.0,-261.0,90.1,12,S,1B,3413
2018-05-15 08:54:58.778022912,66.3736,-38.1701,8036.0,119.0,8024.0,118.7,-426.0,113.9,12,S,1B,3413
2017-04-20 08:55:33.109186048,66.3736,-38.1701,9299.0,164.0,9277.0,164.0,-643.0,138.7,12,S,1A,3413
2018-08-28 08:55:26.051791104,66.3736,-38.1701,9179.0,68.0,9143.0,68.3,-816.0,57.9,6,S,1B,3413
2021-05-16 02:23:50.566036992,66.3736,-38.1701,8679.0,82.0,8675.0,82.3,-271.0,80.6,4,S,2B,3413
2017-04-09 14:21:18.066036992,66.3736,-38.1701,9055.0,21.0,9040.0,20.9,-530.0,23.1,40,S,2A,3413
2020-07-30 08:55:37.131454976,66.3736,-38.1701,8791.0,57.0,8767.0,57.5,-640.0,35.0,5,S,1A,3413
2021-03-04 14:23:52.066036992,66.3736,-38.1701,8597.0,20.0,8589.0,19.8,-348.0,21.4,49,S,2A,3413
2020-08-24 02:23:56.066036992,66.3736,-38.1701,9533.0,66.0,9515.0,65.8,-594.0,59.0,4,S,2A,3413
2020-05-17 09:11:41.427864064,66.3736,-38.1701,9902.0,84.0,9888.0,83.6,-537.0,65.6,5,S,1A,3413
2019-12-09 08:55:32.767975936,66.3736,-38.1701,9410.0,127.0,9388.0,127.4,-634.0,121.7,6,S,1B,3413
2018-01-02 09:03:43.605715968,66.3736,-38.1701,9670.0,128.0,9656.0,128.1,-512.0,70.9,11,S,1A,3413
2017-11-29 09:11:28.929780224,66.3736,-38.1701,10057.0,256.0,10050.0,256.3,-376.0,165.6,5,S,1A,3413
2020-10-04 08:55:39.899869952,66.3736,-38.1701,8121.0,132.0,8103.0,132.4,-542.0,137.7,6,S,1B,3413
2019-06-28 09:11:37.343848704,66.3736,-38.1701,9853.0,77.0,9775.0,77.1,-1239.0,95.9,5,S,1A,3413
2019-07-27 08:55:51.162827008,66.3736,-38.1701,9712.0,28.0,9701.0,28.5,-467.0,19.8,12,S,1A,3413
2018-12-26 08:55:25.765408000,66.3736,-38.1701,8603.0,141.0,8536.0,141.1,-1070.0,137.7,6,S,1B,3413
2018-07-30 09:11:54.088358912,66.3736,-38.1701,8784.0,27.0,8731.0,26.5,-963.0,42.1,12,S,1A,3413
2017-07-05 09:11:04.233050880,66.3736,-38.1701,10094.0,33.0,10056.0,33.0,-869.0,61.8,12,S,1B,3413
2020-04-04 08:55:51.575397888,66.3736,-38.1701,9295.0,107.0,9266.0,107.2,-734.0,104.3,12,S,1A,3413
2018-11-29 08:55:47.599842048,66.3736,-38.1701,9020.0,55.0,8985.0,54.6,-788.0,43.6,11,S,1A,3413
2019-11-04 09:11:21.542340096,66.3736,-38.1701,9143.0,51.0,9120.0,50.9,-641.0,49.8,12,S,1B,3413
2018-04-22 09:11:27.396271104,66.3736,-38.1701,7862.0,83.0,7833.0,82.7,-676.0,72.5,5,S,1A,3413
2018-12-24 09:11:34.665730304,66.3736,-38.1701,9151.0,83.0,9107.0,82.9,-891.0,85.2,6,S,1B,3413
2017-03-06 08:55:10.722633984,66.3736,-38.1701,9123.0,117.0,9102.0,117.4,-627.0,108.9,6,S,1B,3413
2018-07-03 02:10:02.566036992,66.3736,-38.1701,8293.0,27.0,8282.0,26.6,-415.0,32.7,64,S,2A,3413
