mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2015-02-13 10:23:20.564399104,74.609,-55.9875,4175.0,166.0,-4121.0,168.6,-673.0,38.3,12,S,1A,3413
2021-03-20 20:48:22.070115072,74.609,-55.9875,7479.0,167.0,-7473.0,167.6,312.0,108.3,12,S,1B,3413
2016-07-26 20:48:39.854023936,74.609,-55.9875,4084.0,42.0,-4054.0,42.6,-488.0,20.7,12,S,1A,3413
2021-05-01 16:12:09.574054912,74.609,-55.9875,4985.0,150.0,-4880.0,151.6,-1018.0,90.7,10,S,2B,3413
2021-05-14 16:22:10.574054912,74.609,-55.9875,4652.0,163.0,-4569.0,165.8,-874.0,44.4,20,S,2A,3413
2018-07-13 20:48:30.089179904,74.609,-55.9875,4379.0,84.0,-4298.0,85.1,-840.0,41.2,5,S,1A,3413
2020-06-21 16:32:11.074054912,74.609,-55.9875,4968.0,123.0,-4832.0,124.6,-1151.0,91.5,10,S,2B,3413
2017-05-23 04:21:03.574055168,74.609,-55.9875,3824.0,44.0,-3765.0,43.3,-673.0,52.5,95,S,2A,3413
2020-07-03 23:48:06.574054912,74.609,-55.9875,4780.0,105.0,-4633.0,106.7,-1175.0,66.8,9,S,2B,3413
2020-06-11 04:22:14.074054912,74.609,-55.9875,4779.0,83.0,-4650.0,84.5,-1100.0,40.7,35,S,2B,3413
2020-05-19 16:22:10.074054912,74.609,-55.9875,4796.0,85.0,-4620.0,86.9,-1288.0,50.5,50,S,2B,3413
2021-05-19 04:12:11.074055168,74.609,-55.9875,4783.0,189.0,-4722.0,190.9,-756.0,50.3,45,S,2B,3413
2020-06-26 04:22:15.074054912,74.609,-55.9875,4694.0,176.0,-4516.0,180.6,-1282.0,100.0,5,S,2B,3413
2016-08-05 16:09:04.074054912,74.609,-55.9875,4018.0,39.0,-3988.0,38.3,-496.0,54.9,39,S,2A,3413
2019-05-13 11:48:11.074054912,74.609,-55.9875,4176.0,255.0,-4070.0,258.7,-938.0,173.0,5,S,2A,3413
2019-06-05 04:32:14.574055168,74.609,-55.9875,4162.0,159.0,-4033.0,162.9,-1030.0,84.2,24,S,2B,3413
2019-06-05 20:48:54.709987072,74.609,-55.9875,4052.0,81.0,-3953.0,82.5,-893.0,27.2,12,S,1A,3413
2018-02-17 21:05:01.440257024,74.609,-55.9875,4866.0,185.0,-4625.0,193.9,-1515.0,61.2,5,S,1A,3413
2019-05-26 04:37:56.574054912,74.609,-55.9875,4170.0,195.0,-4039.0,201.1,-1037.0,51.2,64,S,2B,3413
2016-07-22 16:29:19.074054912,74.609,-55.9875,3993.0,40.0,-3957.0,40.2,-535.0,45.2,20,S,2A,3413
2016-03-29 16:29:17.574054912,74.609,-55.9875,3952.0,200.0,-3862.0,203.2,-837.0,110.2,9,S,2A,3413
2020-03-31 20:48:58.261541888,74.609,-55.9875,5357.0,153.0,-5259.0,155.5,-1023.0,77.4,12,S,1A,3413
2019-05-24 20:48:54.215273984,74.609,-55.9875,4111.0,108.0,-4030.0,109.4,-813.0,50.5,12,S,1A,3413
2019-06-12 16:32:17.074054912,74.609,-55.9875,4216.0,113.0,-4082.0,115.8,-1053.0,69.1,40,S,2B,3413
2016-10-27 20:48:21.600765952,74.609,-55.9875,4805.0,132.0,-4613.0,136.1,-1345.0,76.5,5,S,1A,3413
2018-05-16 04:28:49.074054912,74.609,-55.9875,3334.0,219.0,-3323.0,218.6,-275.0,243.2,4,S,2A,3413
2020-05-17 16:32:13.574054912,74.609,-55.9875,4683.0,162.0,-4511.0,162.0,-1259.0,159.5,10,S,2A,3413
2020-02-03 20:48:37.436687872,74.609,-55.9875,5617.0,143.0,-5567.0,143.6,-750.0,77.8,6,S,1B,3413
2020-06-11 04:22:15.074054912,74.609,-55.9875,4787.0,105.0,-4660.0,107.8,-1096.0,42.6,44,S,2A,3413
2018-04-14 20:48:25.130821120,74.609,-55.9875,4982.0,179.0,-4804.0,184.1,-1317.0,95.2,6,S,1B,3413
2020-06-28 16:22:16.074054912,74.609,-55.9875,4736.0,105.0,-4571.0,106.7,-1241.0,70.1,19,S,2A,3413
2019-05-08 16:37:58.574054912,74.609,-55.9875,4092.0,250.0,-4016.0,252.2,-781.0,171.3,29,S,2B,3413
2019-05-12 20:48:53.588511232,74.609,-55.9875,4142.0,114.0,-4040.0,116.5,-914.0,42.1,12,S,1A,3413
2020-07-20 20:48:43.250167808,74.609,-55.9875,5535.0,103.0,-5255.0,107.7,-1739.0,38.1,6,S,1B,3413
2018-06-13 20:48:28.442099968,74.609,-55.9875,4083.0,98.0,-3957.0,99.6,-1007.0,77.3,6,S,1B,3413
2020-05-09 16:22:09.074054912,74.609,-55.9875,4769.0,247.0,-4691.0,250.5,-856.0,63.2,30,S,2B,3413
2019-06-20 04:32:14.574055168,74.609,-55.9875,4205.0,139.0,-4088.0,142.2,-986.0,69.9,14,S,2B,3413
2021-04-21 16:12:08.574054656,74.609,-55.9875,4819.0,261.0,-4793.0,259.8,-500.0,336.1,9,S,2B,3413
2020-05-29 04:12:17.074054912,74.609,-55.9875,4693.0,196.0,-4541.0,197.2,-1183.0,171.7,4,S,2A,3413
2017-10-16 20:48:27.447222016,74.609,-55.9875,4484.0,117.0,-4480.0,117.3,-171.0,73.4,6,S,1B,3413
2019-07-12 04:22:18.074054912,74.609,-55.9875,4722.0,83.0,-4585.0,84.8,-1127.0,42.4,24,S,2B,3413
2019-06-02 20:48:33.809725696,74.609,-55.9875,4219.0,104.0,-4098.0,106.2,-1001.0,55.5,5,S,1A,3413
2017-06-29 16:20:25.074054912,74.609,-55.9875,3955.0,101.0,-3894.0,102.3,-694.0,56.2,50,S,2A,3413
2022-03-03 16:32:05.074055168,74.609,-55.9875,6366.0,226.0,-6178.0,230.7,-1536.0,119.1,10,S,2B,3413
2018-12-16 20:48:32.744507904,74.609,-55.9875,4220.0,124.0,-4054.0,125.3,-1172.0,100.7,5,S,1A,3413
2019-04-23 04:27:03.074054912,74.609,-55.9875,4207.0,287.0,-4118.0,292.1,-860.0,118.6,34,S,2A,3413
2019-07-17 11:48:11.074054912,74.609,-55.9875,4809.0,93.0,-4672.0,95.6,-1140.0,37.2,15,S,2A,3413
2020-07-11 04:22:14.574054912,74.609,-55.9875,5063.0,107.0,-4857.0,109.3,-1427.0,73.5,15,S,2B,3413
2021-04-19 20:49:04.891196928,74.609,-55.9875,5234.0,225.0,-5208.0,225.3,-528.0,126.3,12,S,1A,3413
2019-01-03 20:48:32.119422208,74.609,-55.9875,4330.0,178.0,-4278.0,179.1,-671.0,130.2,6,S,1B,3413
2018-03-12 04:30:54.074054912,74.609,-55.9875,4633.0,292.0,-4453.0,302.0,-1280.0,97.8,14,S,2A,3413
2019-06-25 04:32:14.574055168,74.609,-55.9875,4135.0,228.0,-4008.0,232.7,-1016.0,131.3,4,S,2B,3413
2018-06-29 23:47:34.074054912,74.609,-55.9875,3680.0,57.0,-3634.0,57.4,-578.0,46.8,30,S,2A,3413
2017-05-30 04:09:00.574054912,74.609,-55.9875,3826.0,29.0,-3766.0,29.2,-675.0,35.4,95,S,2A,3413
2020-06-15 16:12:15.074055168,74.609,-55.9875,4767.0,88.0,-4602.0,90.4,-1246.0,44.9,30,S,2B,3413
2021-02-21 20:48:42.907226112,74.609,-55.9875,5218.0,170.0,-5142.0,171.9,-890.0,87.1,6,S,1B,3413
2019-06-09 23:48:08.574054912,74.609,-55.9875,4180.0,42.0,-4084.0,42.3,-894.0,34.5,40,S,2A,3413
2019-08-18 16:22:14.074054912,74.609,-55.9875,4430.0,71.0,-4185.0,74.2,-1453.0,32.4,9,S,2A,3413
2019-06-07 11:48:11.074054912,74.609,-55.9875,4166.0,83.0,-4066.0,84.9,-905.0,28.8,44,S,2B,3413
2017-06-19 04:10:23.574055168,74.609,-55.9875,3804.0,76.0,-3751.0,75.6,-631.0,74.4,35,S,2A,3413
2018-09-20 20:48:12.618153984,74.609,-55.9875,4335.0,81.0,-4274.0,81.9,723.0,31.7,12,S,1B,3413
2020-05-22 04:22:14.574054912,74.609,-55.9875,4694.0,215.0,-4567.0,216.3,-1084.0,182.4,4,S,2A,3413
2017-03-14 20:48:17.779619328,74.609,-55.9875,4025.0,196.0,-3982.0,197.0,-584.0,158.3,6,S,1B,3413
2019-07-20 04:32:15.574054912,74.609,-55.9875,4755.0,136.0,-4621.0,138.5,-1120.0,96.6,5,S,2A,3413
2018-03-12 20:48:03.289680896,74.609,-55.9875,4428.0,174.0,-4341.0,176.5,-872.0,89.1,12,S,1B,3413
2021-02-16 21:05:41.216416000,74.609,-55.9875,5087.0,167.0,-4991.0,169.5,-983.0,47.4,11,S,1A,3413
2019-07-24 04:12:20.074054912,74.609,-55.9875,5020.0,76.0,-4847.0,78.4,-1305.0,30.7,14,S,2B,3413
2016-05-03 20:48:32.357254912,74.609,-55.9875,3977.0,115.0,-3904.0,116.7,-755.0,66.9,12,S,1A,3413
2019-06-04 16:22:20.074054912,74.609,-55.9875,4182.0,38.0,-4052.0,36.7,-1034.0,51.7,50,S,2B,3413
2018-07-09 04:08:41.574054912,74.609,-55.9875,4283.0,106.0,-4179.0,107.9,-938.0,54.9,44,S,2A,3413
2020-02-06 20:48:16.417370880,74.609,-55.9875,5825.0,119.0,-5797.0,119.9,-567.0,41.1,11,S,1B,3413
2016-06-09 16:19:19.074054912,74.609,-55.9875,3802.0,47.0,-3749.0,46.1,-636.0,66.4,60,S,2A,3413
2018-02-13 20:48:24.399186944,74.609,-55.9875,4508.0,138.0,-4466.0,139.5,-621.0,68.5,6,S,1B,3413
2019-07-07 16:32:16.574054912,74.609,-55.9875,4683.0,142.0,-4538.0,146.4,-1157.0,32.5,30,S,2B,3413
2021-05-02 04:22:08.074055168,74.609,-55.9875,4949.0,191.0,-4861.0,191.8,-929.0,155.6,5,S,2B,3413
2021-05-17 04:22:09.574054656,74.609,-55.9875,4729.0,191.0,-4669.0,193.6,-750.0,49.1,35,S,2B,3413
2020-05-26 16:12:14.074054912,74.609,-55.9875,4693.0,116.0,-4541.0,118.2,-1183.0,76.3,10,S,2B,3413
2021-09-24 04:22:12.074055168,74.609,-55.9875,4570.0,107.0,-4566.0,106.7,-198.0,105.0,4,S,2A,3413
2020-01-10 20:48:38.186712064,74.609,-55.9875,5828.0,208.0,-5655.0,210.7,-1412.0,149.6,6,S,1B,3413
2019-05-22 16:12:16.574054656,74.609,-55.9875,4171.0,86.0,-4055.0,88.1,-977.0,51.4,39,S,2A,3413
