mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2022-03-21 04:32:08.074054912,74.6091,-56.0104,18243.0,228.0,-18065.0,230.4,-2543.0,76.0,25,S,2B,3413
2015-02-13 10:23:20.564399104,74.6091,-56.0104,4268.0,162.0,-4086.0,168.6,1234.0,38.3,12,S,1A,3413
2021-03-20 20:48:22.070115072,74.6091,-56.0104,7127.0,167.0,-7089.0,167.6,730.0,108.3,12,S,1B,3413
2016-07-26 20:48:39.854023936,74.6091,-56.0104,4114.0,43.0,-4101.0,42.6,-332.0,20.7,12,S,1A,3413
2021-05-01 16:12:09.574054912,74.6091,-56.0104,5130.0,151.0,-5114.0,151.6,407.0,90.7,10,S,2B,3413
2021-05-14 16:22:10.574054912,74.6091,-56.0104,4602.0,166.0,-4602.0,165.8,-39.0,44.4,20,S,2A,3413
2018-07-13 20:48:30.089179904,74.6091,-56.0104,4181.0,85.0,-4164.0,85.1,-380.0,41.2,5,S,1A,3413
2020-06-21 16:32:11.074054912,74.6091,-56.0104,4595.0,124.0,-4565.0,124.6,-525.0,91.5,10,S,2B,3413
2017-05-23 04:21:03.574055168,74.6091,-56.0104,3860.0,43.0,-3837.0,43.3,-422.0,52.5,95,S,2A,3413
2020-07-03 23:48:06.574054912,74.6091,-56.0104,4690.0,106.0,-4632.0,106.7,-732.0,66.8,9,S,2B,3413
2020-06-11 04:22:14.074054912,74.6091,-56.0104,4767.0,84.0,-4756.0,84.5,-311.0,40.7,35,S,2B,3413
2020-05-19 16:22:10.074054912,74.6091,-56.0104,4737.0,87.0,-4715.0,86.9,-461.0,50.5,50,S,2B,3413
2021-05-19 04:12:11.074055168,74.6091,-56.0104,4719.0,191.0,-4719.0,190.9,41.0,50.3,45,S,2B,3413
2020-06-26 04:22:15.074054912,74.6091,-56.0104,4257.0,180.0,-4237.0,180.6,-408.0,100.0,5,S,2B,3413
2019-05-13 11:48:11.074054912,74.6091,-56.0104,4095.0,257.0,-4048.0,258.7,-616.0,173.0,5,S,2A,3413
2019-06-05 04:32:14.574055168,74.6091,-56.0104,4111.0,161.0,-4049.0,162.9,-709.0,84.2,24,S,2B,3413
2019-06-05 20:48:54.709987072,74.6091,-56.0104,3955.0,82.0,-3930.0,82.5,-445.0,27.2,12,S,1A,3413
2018-02-17 21:05:01.440257024,74.6091,-56.0104,4613.0,194.0,-4608.0,193.9,-222.0,61.2,5,S,1A,3413
2019-05-26 04:37:56.574054912,74.6091,-56.0104,4181.0,198.0,-4120.0,201.1,-707.0,51.2,64,S,2B,3413
2016-07-22 16:29:19.074054912,74.6091,-56.0104,4096.0,40.0,-4074.0,40.2,-427.0,45.2,20,S,2A,3413
2016-03-29 16:29:17.574054912,74.6091,-56.0104,4084.0,201.0,-4021.0,203.2,-710.0,110.2,9,S,2A,3413
2020-03-31 20:48:58.261541888,74.6091,-56.0104,5123.0,155.0,-5111.0,155.5,-349.0,77.4,12,S,1A,3413
2019-05-24 20:48:54.215273984,74.6091,-56.0104,4034.0,108.0,-3991.0,109.4,-583.0,50.5,12,S,1A,3413
2019-06-12 16:32:17.074054912,74.6091,-56.0104,4224.0,115.0,-4157.0,115.8,-745.0,69.1,40,S,2B,3413
2016-10-27 20:48:21.600765952,74.6091,-56.0104,5041.0,136.0,-5028.0,136.1,371.0,76.5,5,S,1A,3413
2018-05-16 04:28:49.074054912,74.6091,-56.0104,3888.0,219.0,-3887.0,218.6,-68.0,243.2,4,S,2A,3413
2020-05-17 16:32:13.574054912,74.6091,-56.0104,4667.0,162.0,-4637.0,162.0,-533.0,159.5,10,S,2A,3413
2020-02-03 20:48:37.436687872,74.6091,-56.0104,4784.0,143.0,-4744.0,143.6,-615.0,77.8,6,S,1B,3413
2020-06-11 04:22:15.074054912,74.6091,-56.0104,4806.0,107.0,-4788.0,107.8,-419.0,42.6,44,S,2A,3413
2018-04-14 20:48:25.130821120,74.6091,-56.0104,4824.0,183.0,-4802.0,184.1,-464.0,95.2,6,S,1B,3413
2017-12-30 20:48:04.694158080,74.6091,-56.0104,4220.0,72.0,-4174.0,72.4,624.0,37.0,11,S,1B,3413
2020-06-28 16:22:16.074054912,74.6091,-56.0104,4724.0,106.0,-4649.0,106.7,-840.0,70.1,19,S,2A,3413
2019-05-08 16:37:58.574054912,74.6091,-56.0104,4012.0,251.0,-3983.0,252.2,-477.0,171.3,29,S,2B,3413
2019-05-12 20:48:53.588511232,74.6091,-56.0104,4036.0,115.0,-3970.0,116.5,-724.0,42.1,12,S,1A,3413
2018-06-13 20:48:28.442099968,74.6091,-56.0104,4022.0,100.0,-4016.0,99.6,-203.0,77.3,6,S,1B,3413
2020-05-09 16:22:09.074054912,74.6091,-56.0104,4706.0,248.0,-4665.0,250.5,-621.0,63.2,30,S,2B,3413
2019-06-20 04:32:14.574055168,74.6091,-56.0104,4120.0,141.0,-4066.0,142.2,-664.0,69.9,14,S,2B,3413
2021-04-21 16:12:08.574054656,74.6091,-56.0104,5096.0,262.0,-5038.0,259.8,764.0,336.1,9,S,2B,3413
2020-05-29 04:12:17.074054912,74.6091,-56.0104,4538.0,197.0,-4531.0,197.2,-252.0,171.7,4,S,2A,3413
2016-04-21 20:48:31.773856000,74.6091,-56.0104,3947.0,127.0,-3886.0,127.1,-690.0,112.8,12,S,1A,3413
2017-10-16 20:48:27.447222016,74.6091,-56.0104,4647.0,117.0,-4634.0,117.3,337.0,73.4,6,S,1B,3413
2018-09-07 04:09:35.074055168,74.6091,-56.0104,20857.0,191.0,-16072.0,194.2,13293.0,187.5,4,S,2A,3413
2019-06-02 20:48:33.809725696,74.6091,-56.0104,3878.0,106.0,-3860.0,106.2,-376.0,55.5,5,S,1A,3413
2017-06-29 16:20:25.074054912,74.6091,-56.0104,3967.0,102.0,-3952.0,102.3,-350.0,56.2,50,S,2A,3413
2022-03-03 16:32:05.074055168,74.6091,-56.0104,7106.0,230.0,-7056.0,230.7,-837.0,119.1,10,S,2B,3413
2019-04-23 04:27:03.074054912,74.6091,-56.0104,4078.0,290.0,-4048.0,292.1,-495.0,118.6,34,S,2A,3413
2019-07-17 11:48:11.074054912,74.6091,-56.0104,4781.0,94.0,-4685.0,95.6,-954.0,37.2,15,S,2A,3413
2021-04-19 20:49:04.891196928,74.6091,-56.0104,5121.0,225.0,-5112.0,225.3,300.0,126.3,12,S,1A,3413
2019-01-03 20:48:32.119422208,74.6091,-56.0104,4022.0,179.0,-4016.0,179.1,-203.0,130.2,6,S,1B,3413
2020-05-30 04:32:12.074054912,74.6091,-56.0104,4707.0,60.0,-4700.0,60.0,-257.0,75.6,34,S,2A,3413
2018-03-12 04:30:54.074054912,74.6091,-56.0104,4418.0,299.0,-4368.0,302.0,-660.0,97.8,14,S,2A,3413
2019-06-25 04:32:14.574055168,74.6091,-56.0104,3955.0,231.0,-3914.0,232.7,-570.0,131.3,4,S,2B,3413
2017-05-30 04:09:00.574054912,74.6091,-56.0104,3864.0,29.0,-3842.0,29.2,-418.0,35.4,95,S,2A,3413
2021-02-21 20:48:42.907226112,74.6091,-56.0104,4701.0,169.0,-4578.0,171.9,-1069.0,87.1,6,S,1B,3413
2019-06-09 23:48:08.574054912,74.6091,-56.0104,4162.0,42.0,-4119.0,42.3,-595.0,34.5,40,S,2A,3413
2018-09-12 04:10:09.574054912,74.6091,-56.0104,11732.0,85.0,-9590.0,91.6,6758.0,69.9,14,S,2A,3413
2019-06-07 11:48:11.074054912,74.6091,-56.0104,4169.0,84.0,-4126.0,84.9,-597.0,28.8,44,S,2B,3413
2017-06-19 04:10:23.574055168,74.6091,-56.0104,3793.0,76.0,-3781.0,75.6,-298.0,74.4,35,S,2A,3413
2018-09-20 20:48:12.618153984,74.6091,-56.0104,4044.0,78.0,-3833.0,81.9,1291.0,31.7,12,S,1B,3413
2020-05-22 04:22:14.574054912,74.6091,-56.0104,4920.0,216.0,-4884.0,216.3,-597.0,182.4,4,S,2A,3413
2017-03-14 20:48:17.779619328,74.6091,-56.0104,3999.0,197.0,-3995.0,197.0,-174.0,158.3,6,S,1B,3413
2019-07-20 04:32:15.574054912,74.6091,-56.0104,4949.0,137.0,-4861.0,138.5,-929.0,96.6,5,S,2A,3413
2016-06-22 16:29:03.074054912,74.6091,-56.0104,4004.0,22.0,-3976.0,21.8,-473.0,26.1,99,S,2A,3413
2018-03-12 20:48:03.289680896,74.6091,-56.0104,4368.0,176.0,-4349.0,176.5,-409.0,89.1,12,S,1B,3413
2021-02-16 21:05:41.216416000,74.6091,-56.0104,4777.0,168.0,-4733.0,169.5,-644.0,47.4,11,S,1A,3413
2016-05-03 20:48:32.357254912,74.6091,-56.0104,3797.0,116.0,-3765.0,116.7,-494.0,66.9,12,S,1A,3413
2019-06-04 16:22:20.074054912,74.6091,-56.0104,4171.0,37.0,-4108.0,36.7,-724.0,51.7,50,S,2B,3413
2020-02-06 20:48:16.417370880,74.6091,-56.0104,5289.0,120.0,-5286.0,119.9,-170.0,41.1,11,S,1B,3413
2016-06-09 16:19:19.074054912,74.6091,-56.0104,3889.0,46.0,-3866.0,46.1,-421.0,66.4,60,S,2A,3413
2018-02-13 20:48:24.399186944,74.6091,-56.0104,4414.0,139.0,-4401.0,139.5,-344.0,68.5,6,S,1B,3413
2017-04-04 20:48:39.301490944,74.6091,-56.0104,3677.0,186.0,-3674.0,185.8,146.0,67.7,12,S,1A,3413
2021-05-02 04:22:08.074055168,74.6091,-56.0104,5195.0,192.0,-5176.0,191.8,444.0,155.6,5,S,2B,3413
2021-05-17 04:22:09.574054656,74.6091,-56.0104,4703.0,194.0,-4702.0,193.6,70.0,49.1,35,S,2B,3413
2020-05-26 16:12:14.074054912,74.6091,-56.0104,4624.0,118.0,-4616.0,118.2,-269.0,76.3,10,S,2B,3413
2021-09-24 04:22:12.074055168,74.6091,-56.0104,4399.0,107.0,-4370.0,106.7,506.0,105.0,4,S,2A,3413
2020-01-10 20:48:38.186712064,74.6091,-56.0104,5464.0,209.0,-5384.0,210.7,-934.0,149.6,6,S,1B,3413
2019-05-22 16:12:16.574054656,74.6091,-56.0104,4088.0,87.0,-4034.0,88.1,-661.0,51.4,39,S,2A,3413
2019-04-25 16:22:43.074055168,74.6091,-56.0104,4015.0,186.0,-3981.0,186.0,-521.0,170.5,19,S,2A,3413
